Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
59	14	0	1.11115389	101321.317	101321.317	101321.317	101321.317	4.21072909e-05	0.00101321317	0	0	0	0	3
60	14	0	1.12998701	101321.317	101321.317	101321.317	101321.317	3.53804353e-05	0.00101321317	0	0	0	0	3
61	14	0	1.14882012	101321.317	101321.317	101321.317	101321.317	3.12136253e-05	0.00101321317	0	0	0	0	3
62	14	0	1.16765324	101321.317	101321.317	101321.317	101321.317	2.78478692e-05	0.00101321317	0	0	0	0	3
63	15	0	1.18648636	101321.317	101321.317	101321.317	101321.317	2.44456023e-05	0.00101321317	0	0	0	0	3
64	15	0	1.20531948	101321.317	101321.317	101321.317	101321.317	2.051513e-05	0.00101321317	0	0	0	0	3
65	15	0	1.22415259	101321.317	101321.317	101321.317	101321.317	1.73082226e-05	0.00101321317	0	0	0	0	3
66	15	0	1.24298571	101321.317	101321.317	101321.317	101321.317	1.41602795e-05	0.00101321317	0	0	0	0	3
67	15	0	1.26181883	101321.317	101321.317	101321.317	101321.317	1.20478799e-05	0.00101321317	0	0	0	0	3
68	16	0	1.28065194	101321.317	101321.317	101321.317	101321.317	9.86397208e-06	0.00101321317	0	0	0	0	3
69	16	0	1.29948506	101321.317	101321.317	101321.317	101321.317	8.66928895e-06	0.00101321317	0	0	0	0	3
70	16	0	1.31831818	101321.317	101321.317	101321.317	101321.317	7.5523858e-06	0.00101321317	0	0	0	0	3
71	16	0	1.33715129	101321.317	101321.317	101321.317	101321.317	6.81044185e-06	0.00101321317	0	0	0	0	3
72	16	0	1.35598441	101321.317	101321.317	101321.317	101321.317	7.50589243e-06	0.00101321317	0	0	0	0	3
73	17	0	1.37481753	101321.317	101321.317	101321.317	101321.317	6.90879824e-06	0.00101321317	0	0	0	0	3
74	17	0	1.39365064	101321.317	101321.317	101321.317	101321.317	8.68657662e-06	0.00101321317	0	0	0	0	3
75	17	0	1.41248376	101321.317	101321.317	101321.317	101321.317	7.35223875e-06	0.00101321317	0	0	0	0	3
76	17	0	1.43131688	101321.317	101321.317	101321.317	101321.317	7.35223875e-06	0.00101321317	0	0	0	0	3
77	18	0	1.45014999	101321.317	101321.317	101321.317	101321.317	7.35223875e-06	0.00101321317	0	0	0	0	3
78	18	0	1.46898311	101321.317	101321.317	101321.317	101321.317	7.35223875e-06	0.00101321317	0	0	0	0	3
79	18	0	1.48781623	101321.317	101321.317	101321.317	101321.317	7.35223875e-06	0.00101321317	0	0	0	0	3
80	18	0	1.50664934	101321.317	101321.317	101321.317	101321.317	7.35223875e-06	0.00101321317	0	0	0	0	3
81	18	0	1.52548246	101321.317	101321.317	101321.317	101321.317	7.35223875e-06	0.00101321317	0	0	0	0	3
82	19	0	1.54431558	101321.317	101321.317	101321.317	101321.317	7.35223875e-06	0.00101321317	0	0	0	0	3
83	19	0	1.56314869	101321.317	101321.317	101321.317	101321.317	6.8024674e-06	0.00101321317	0	0	0	0	3
84	19	0	1.58198181	101321.317	101321.317	101321.317	101321.317	6.8024674e-06	0.00101321317	0	0	0	0	3
85	19	0	1.60081493	101321.317	101321.317	101321.317	101321.317	6.8024674e-06	0.00101321317	0	0	0	0	3
86	20	0	1.61964805	101321.317	101321.317	101321.317	101321.317	6.98784424e-06	0.00101321317	0	0	0	0	3
87	20	0	1.63848116	101321.317	101321.317	101321.317	101321.317	7.27060251e-06	0.00101321317	0	0	0	0	3
88	20	0	1.65731428	101321.317	101321.317	101321.317	101321.317	8.03703733e-06	0.00101321317	0	0	0	0	3
89	20	0	1.6761474	101321.317	101321.317	101321.317	101321.317	8.26387259e-06	0.00101321317	0	0	0	0	3
90	20	0	1.69498051	101321.317	101321.317	101321.317	101321.317	7.57230737e-06	0.00101321317	0	0	0	0	3
91	21	0	1.71381363	101321.317	101321.317	101321.317	101321.317	7.08116568e-06	0.00101321317	0	0	0	0	3
92	21	0	1.73264675	101321.317	101321.317	101321.317	101321.317	6.65137486e-06	0.00101321317	0	0	0	0	3
93	21	0	1.75147986	101321.317	101321.317	101321.317	101321.317	6.3496409e-06	0.00101321317	0	0	0	0	3
94	21	0	1.77031298	101321.317	101321.317	101321.317	101321.317	6.08310802e-06	0.00101321317	0	0	0	0	3
95	22	0	1.7891461	101321.317	101321.317	101321.317	101321.317	5.91034768e-06	0.00101321317	0	0	0	0	3
