Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
54	13	0	1.01698831	300.157586	300.149631	300.119188	300.15852	0.0393318249	0.00475184991	0	12	0	0	3
55	13	0	1.03582142	300.157581	300.151053	300.123526	300.15852	0.0349937858	0.00475184991	0	13.5	0	0	3
56	13	0	1.05465454	300.157528	300.152313	300.127543	300.15852	0.0309762534	0.00475184991	0	15.3	0	0	3
57	13	0	1.07348766	300.157586	300.153425	300.132782	300.15852	0.0257381913	0.00475184991	0	18.4	0	0	3
58	13	0	1.09232077	300.158314	300.154371	300.137096	300.15852	0.0214238653	0.00475184991	0	22.1	0	0	3
59	14	0	1.11115389	300.158226	300.155154	300.140425	300.15852	0.0180944209	0.00475184991	0	26.2	0	0	3
60	14	0	1.12998701	300.15846	300.155822	300.143164	300.15852	0.0153553016	0.00475184991	0	30.9	0	0	3
61	14	0	1.14882012	300.157716	300.15636	300.145445	300.15852	0.0130743474	0.00475184991	0	36.3	0	0	3
62	14	0	1.16765324	300.158334	300.156838	300.148606	300.15852	0.00991335018	0.00475184991	0	47.9	0	0	3
63	15	0	1.18648636	300.158457	300.157203	300.151044	300.15852	0.00747589964	0.00475184991	0	63.5	0	0	3
64	15	0	1.20531948	300.1585	300.157479	300.152904	300.15852	0.00561527819	0.00475184991	0	84.6	0	0	3
65	15	0	1.22415259	300.157694	300.157656	300.154142	300.15852	0.00437813931	0.00475184991	0	100	0	0	3
66	15	0	1.24298571	300.157888	300.157795	300.155296	300.15852	0.00322421408	0.00475184991	0	100	0	0	3
67	15	0	1.26181883	300.157888	300.157891	300.156592	300.15852	0.00192799857	0.00475184991	0	100	0	0	3
68	16	0	1.28065194	300.158299	300.157954	300.157351	300.15852	0.00116886444	0.00475184991	0	100	0	0	3
69	16	0	1.29948506	300.158208	300.157967	300.157351	300.15852	0.00116886444	0.00475184991	0	100	0	0	3
70	16	0	1.31831818	300.158655	300.158	300.157351	300.158655	0.0013045976	0.00475184991	0	100	0	0	3
71	16	0	1.33715129	300.159481	300.158059	300.157351	300.159481	0.00212997947	0.00475184991	0	100	0	0	3
72	16	0	1.35598441	300.160291	300.158143	300.157351	300.160291	0.00294053325	0.00475184991	0	100	0	0	3
73	17	0	1.37481753	300.160244	300.15823	300.157351	300.160291	0.00294053325	0.00475184991	0	100	0	0	3
74	17	0	1.39365064	300.160532	300.158304	300.157351	300.160532	0.00318152495	0.00475184991	0	100	0	0	3
75	17	0	1.41248376	300.160309	300.158378	300.157351	300.160532	0.00318152495	0.00475184991	0	100	0	0	3
76	17	0	1.43131688	300.159629	300.158429	300.157351	300.160532	0.00318152495	0.00475184991	0	100	0	0	3
77	18	0	1.45014999	300.159445	300.158495	300.157351	300.160532	0.00318152495	0.00475184991	0	100	0	0	3
78	18	0	1.46898311	300.159187	300.158552	300.157351	300.160532	0.00318152495	0.00475184991	0	100	0	0	3
79	18	0	1.48781623	300.159028	300.158614	300.157518	300.160532	0.00301437115	0.00475184991	0	100	0	0	3
80	18	0	1.50664934	300.158536	300.158652	300.157528	300.160532	0.00300458078	0.00475184991	0	100	0	0	3
81	18	0	1.52548246	300.158794	300.158697	300.157528	300.160532	0.00300458078	0.00475184991	0	100	0	0	3
82	19	0	1.54431558	300.159509	300.158768	300.157528	300.160532	0.00300458078	0.00475184991	0	100	0	0	3
