Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
55	13	0	1.03582142	310.992619	310.880461	310.497303	310.993333	0.496029788	0.223180481	0	44.9	0	0	3
56	13	0	1.05465454	310.995089	310.898898	310.550828	310.995089	0.444260658	0.223206823	0	50.2	0	0	3
57	13	0	1.07348766	311.006355	310.915769	310.613429	311.006355	0.392926175	0.223180481	0	56.7	0	0	3
58	13	0	1.09232077	311.00809	310.930386	310.670441	311.00809	0.337649375	0.223180481	0	66	0	0	3
59	14	0	1.11115389	311.000258	310.942601	310.711683	311.00809	0.296406407	0.223180481	0	75.2	0	0	3
60	14	0	1.12998701	311.005006	310.953465	310.748637	311.00809	0.259453147	0.223180481	0	86	0	0	3
61	14	0	1.14882012	311.010587	310.963167	310.784701	311.010587	0.225885777	0.223180481	0	98.8	0	0	3
62	14	0	1.16765324	310.997561	310.971051	310.825103	311.010587	0.185483806	0.223180481	0	100	0	0	3
63	15	0	1.18648636	310.989771	310.97715	310.864346	311.010587	0.14624163	0.223180481	0	100	0	0	3
64	15	0	1.20531948	310.997997	310.9821	310.901017	311.010587	0.1095707	0.223180481	0	100	0	0	3
65	15	0	1.22415259	311.008179	310.986069	310.926923	311.010587	0.0836645056	0.223180481	0	100	0	0	3
66	15	0	1.24298571	311.009134	310.989113	310.948656	311.010587	0.0619307581	0.223180481	0	100	0	0	3
67	15	0	1.26181883	311.000884	310.991048	310.964505	311.010587	0.0460824606	0.223180481	0	100	0	0	3
68	16	0	1.28065194	311.001486	310.992209	310.964505	311.010587	0.0460824606	0.223180481	0	100	0	0	3
69	16	0	1.29948506	310.998762	310.993192	310.964505	311.010587	0.0460824606	0.223180481	0	100	0	0	3
70	16	0	1.31831818	311.015655	310.994474	310.964505	311.015655	0.0511501988	0.223180481	0	100	0	0	3
71	16	0	1.33715129	311.015021	310.995988	310.964505	311.015655	0.0511501988	0.223180481	0	100	0	0	3
72	16	0	1.35598441	311.01098	310.996737	310.964505	311.015655	0.0511501988	0.223180481	0	100	0	0	3
73	17	0	1.37481753	311.014343	310.997638	310.964505	311.015655	0.0511501988	0.223180481	0	100	0	0	3
74	17	0	1.39365064	311.009764	310.998393	310.964505	311.015655	0.0511501988	0.223180481	0	100	0	0	3
75	17	0	1.41248376	310.988675	310.998974	310.964505	311.015655	0.0511501988	0.223180481	0	100	0	0	3
76	17	0	1.43131688	311.004101	310.999415	310.964505	311.015655	0.0511501988	0.223180481	0	100	0	0	3
77	18	0	1.45014999	311.012917	311.000423	310.964505	311.015655	0.0511501988	0.223180481	0	100	0	0	3
78	18	0	1.46898311	311.011472	311.002162	310.972528	311.015655	0.0431266959	0.223180481	0	100	0	0	3
79	18	0	1.48781623	311.0233	311.004043	310.987816	311.0233	0.0354833611	0.223180481	0	100	0	0	3
80	18	0	1.50664934	311.030101	311.005404	310.987816	311.030101	0.0422849929	0.223180481	0	100	0	0	3
81	18	0	1.52548246	311.023674	311.006733	310.988675	311.030101	0.0414267078	0.223180481	0	100	0	0	3
82	19	0	1.54431558	311.008691	311.007328	310.988675	311.030101	0.0414267078	0.223180481	0	100	0	0	3
83	19	0	1.56314869	310.994652	311.007312	310.988675	311.030101	0.0414267078	0.223180481	0	100	0	0	3
84	19	0	1.58198181	311.004643	311.007248	310.988675	311.030101	0.0414267078	0.223180481	0	100	0	0	3
85	19	0	1.60081493	311.009961	311.007317	310.988675	311.030101	0.0414267078	0.223180481	0	100	0	0	3
86	20	0	1.61964805	311.000174	311.007314	310.988675	311.030101	0.0414267078	0.223180481	0	100	0	0	3
87	20	0	1.63848116	310.999796	311.007121	310.988675	311.030101	0.0414267078	0.223180481	0	100	0	0	3
88	20	0	1.65731428	311.007841	311.00702	310.988675	311.030101	0.0362769856	0.223180481	0	100	0	0	3
89	20	0	1.6761474	311.003358	311.007234	310.988675	311.030101	0.0301781823	0.223180481	0	100	0	0	3
90	20	0	1.69498051	311.019949	311.008352	310.988675	311.030101	0.0262524372	0.223180481	0	100	0	0	3
91	21	0	1.71381363	311.024769	311.009344	310.988675	311.030101	0.0232750144	0.223180481	0	100	0	0	3
92	21	0	1.73264675	311.038637	311.010472	310.988675	311.038637	0.0213582442	0.223180481	0	100	0	0	3
93	21	0	1.75147986	311.034563	311.011414	310.988675	311.038637	0.0203657139	0.223180481	0	100	0	0	3
94	21	0	1.77031298	311.046719	311.013111	310.988675	311.046719	0.0209023233	0.223180481	0	100	0	0	3
95	22	0	1.7891461	311.030938	311.014202	310.988675	311.046719	0.0210096799	0.223180481	0	100	0	0	3
