Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
58	13	0	1.09232077	8.33522329	8.46338777	8.3066686	8.93106482	0.624396211	0.187097856	0	0	0	0	3
59	14	0	1.11115389	8.3259523	8.4409762	8.3066686	8.84416872	0.537500115	0.187097856	0	0	0	0	3
60	14	0	1.12998701	8.36807059	8.42334294	8.3066686	8.78181484	0.475146239	0.187097856	0	0	0	0	3
61	14	0	1.14882012	8.29106356	8.40516696	8.29106356	8.7055101	0.414446534	0.187097856	0	0	0	0	3
62	14	0	1.16765324	8.32813679	8.39119017	8.29106356	8.64827472	0.357211157	0.187097856	0	0	0	0	3
63	15	0	1.18648636	8.31397912	8.37880886	8.29106356	8.5999198	0.308856236	0.187097856	0	0	0	0	3
64	15	0	1.20531948	8.33903855	8.36914659	8.29106356	8.55190148	0.260837921	0.187097856	0	0	0	0	3
65	15	0	1.22415259	8.29977523	8.35980858	8.29106356	8.50034617	0.209282609	0.187097856	0	0	0	0	3
66	15	0	1.24298571	8.33731945	8.35377055	8.29106356	8.47120797	0.180144406	0.187097856	0	0	0	0	3
67	15	0	1.26181883	8.32059028	8.34819212	8.29106356	8.43512933	0.144065773	0.187097856	0	0	0	0	3
68	16	0	1.28065194	8.34648597	8.34490903	8.29106356	8.42308711	0.132023549	0.187097856	0	0	0	0	3
69	16	0	1.29948506	8.32245191	8.3411818	8.29106356	8.4117168	0.120653243	0.187097856	0	0	0	0	3
70	16	0	1.31831818	8.33689198	8.33841051	8.29106356	8.40406724	0.113003679	0.187097856	0	0	0	0	3
71	16	0	1.33715129	8.28800324	8.33464774	8.28800324	8.40406724	0.116064001	0.187097856	0	0	0	0	3
72	16	0	1.35598441	8.35324697	8.3338885	8.28800324	8.40406724	0.116064001	0.187097856	0	0	0	0	3
73	17	0	1.37481753	8.29897238	8.33124156	8.28800324	8.40406724	0.116064001	0.187097856	0	0	0	0	3
74	17	0	1.39365064	8.31054278	8.33086438	8.28800324	8.40406724	0.116064001	0.187097856	0	0	0	0	3
75	17	0	1.41248376	8.32005044	8.32775265	8.28800324	8.38345535	0.0954521125	0.187097856	0	0	0	0	3
76	17	0	1.43131688	8.31936907	8.32822304	8.28800324	8.38345535	0.0954521125	0.187097856	0	0	0	0	3
77	18	0	1.45014999	8.29949248	8.32587322	8.28800324	8.38345535	0.0954521125	0.187097856	0	0	0	0	3
78	18	0	1.46898311	8.31561956	8.3248859	8.28800324	8.38345535	0.0954521125	0.187097856	0	0	0	0	3
79	18	0	1.48781623	8.3386349	8.32322589	8.28800324	8.36807059	0.0800673531	0.187097856	0	0	0	0	3
80	18	0	1.50664934	8.28076704	8.32121956	8.28076704	8.36807059	0.0873035561	0.187097856	0	0	0	0	3
81	18	0	1.52548246	8.32515614	8.32145063	8.28076704	8.36807059	0.0873035561	0.187097856	0	0	0	0	3
82	19	0	1.54431558	8.30148676	8.32069673	8.28076704	8.36807059	0.0873035561	0.187097856	0	0	0	0	3
83	19	0	1.56314869	8.36063748	8.32161667	8.28076704	8.36807059	0.0873035561	0.187097856	0	0	0	0	3
84	19	0	1.58198181	8.31206887	8.32181582	8.28076704	8.36807059	0.0873035561	0.187097856	0	0	0	0	3
85	19	0	1.60081493	8.33533696	8.32182003	8.28076704	8.36807059	0.0873035561	0.187097856	0	0	0	0	3
86	20	0	1.61964805	8.29756563	8.32076867	8.28076704	8.36807059	0.0873035561	0.187097856	0	0	0	0	3
87	20	0	1.63848116	8.33926632	8.31970185	8.28076704	8.36063748	0.079870446	0.187097856	0	0	0	0	3
88	20	0	1.65731428	8.3229784	8.32088388	8.28076704	8.36063748	0.0714883269	0.187097856	0	0	0	0	3
89	20	0	1.6761474	8.33047091	8.32097033	8.28076704	8.36063748	0.0591070085	0.187097856	0	0	0	0	3
90	20	0	1.69498051	8.32745297	8.32146936	8.28076704	8.36063748	0.04944474	0.187097856	0	0	0	0	3
91	21	0	1.71381363	8.30896332	8.32035546	8.28076704	8.36063748	0.0401067307	0.187097856	0	0	0	0	3
92	21	0	1.73264675	8.2999875	8.32036332	8.28076704	8.36063748	0.0340687039	0.187097856	0	0	0	0	3
93	21	0	1.75147986	8.30877777	8.31930622	8.28076704	8.36063748	0.028885895	0.187097856	0	0	0	0	3
94	21	0	1.77031298	8.27087845	8.31746504	8.27087845	8.36063748	0.0274439865	0.187097856	0	0	0	0	3
95	22	0	1.7891461	8.31027351	8.31612384	8.27087845	8.36063748	0.0250579587	0.187097856	0	0	0	0	3
