-67.539	-0.751
-59.038	1.545
-50.615	3.841
-42.036	5.845
-33.457	7.39
-24.865	7.64
-16.286	9.185
-7.707	10.938
0.95	14.278
9.62	15.531
18.278	19.121
26.857	22.169
35.514	26.01
44.106	28.807
52.685	32.606
61.264	36.197
69.765	39.495
78.266	41.541
86.688	44.087
95.111	46.384
103.456	48.179
111.722	50.475
119.976	52.479
128.165	53.773
136.275	55.568
144.294	58.366
152.235	60.119
160.111	61.413
167.896	63.71
173.455	67.008
181.084	70.598
188.556	74.397
195.937	77.487
203.254	81.286
210.401	85.879
217.391	90.721
224.226	95.063
231.06	100.908
237.661	103.956
244.17	109.843
250.445	114.686
256.563	120.03
262.604	126.918
268.41	135.56
274.047	145.497
279.527	156.477
284.774	168.417
289.864	182.445
294.785	197.976
299.471	216.846
303.924	238.514
308.22	262.979
312.268	294.584
316.005	340.425
319.572	382.717
322.839	430.896
325.768	486.213
328.554	545.832
331.015	607.746
333.241	672.958
335.232	739.215
336.899	803.175
338.409	866.133
339.685	927.797
340.713	981.821
341.663	1031
342.301	1070
342.783	1101
343.174	1122
343.33	1130
343.408	1131
343.252	1119
343.017	1098
342.692	1067
342.145	1031
341.429	988.166
340.557	939.779
339.594	888.051
338.487	834.028
337.211	775.913
335.779	715.543
334.191	654.63
332.368	596.766
330.468	542.492
328.32	489.261
325.937	440.08
323.464	396.745
320.691	358.043
317.749	322.097
314.651	288.989
311.396	260.433
307.816	235.216
304.158	212.755
300.187	191.63
296.139	173.01
291.843	158.731
287.39	145.246
282.704	133.515
277.939	123.578
272.94	116.189
267.772	108.799
262.447	102.203
256.967	96.316
251.239	92.224
245.368	87.924
239.405	82.58
233.287	77.988
226.934	73.646
220.49	68.553
213.903	61.664
207.146	57.865
200.312	53.773
193.321	49.431
186.252	45.34
179.014	41.791
171.71	37.7
164.238	33.65
156.687	29.559
149.059	25.467
141.274	22.169
133.411	18.871
125.457	16.575
117.437	14.028
109.327	11.732
101.152	9.936
92.963	7.891
84.618	6.095
76.365	3.048
67.942	1.002
59.597	-1.545
51.097	-4.091
42.583	-6.889
34.004	-9.185
25.425	-11.481
16.846	-14.028
8.267	-16.074
-0.312	-19.622
-8.983	-22.92
-17.562	-26.761
-26.141	-30.561
-34.798	-33.901
-43.39	-36.948
-51.969	-39.495
-60.548	-41.791
-69.049	-42.543
-77.471	-44.588
-85.894	-45.883
-94.317	-46.384
-102.662	-46.384
-110.928	-48.179
-119.195	-48.93
-127.37	-49.932
-135.468	-52.479
-143.5	-55.276
-151.441	-58.867
-159.317	-62.165
-167.102	-67.008
-174.809	-70.849
-182.438	-74.147
-189.988	-78.739
-197.291	-81.787
-204.607	-83.833
-211.755	-88.676
-218.745	-93.268
-225.658	-98.612
-232.414	-103.706
-239.002	-109.049
-245.368	-114.686
-251.72	-120.03
-257.839	-125.624
-263.88	-132.262
-269.673	-139.902
-275.322	-150.34
-280.725	-163.324
-286.05	-176.85
-291.205	-189.834
-296.139	-205.658
-300.825	-225.53
-305.277	-247.95
-309.56	-275.964
-313.622	-307.818
-317.345	-347.063
-320.925	-391.15
-324.258	-441.834
-327.2	-497.653
-329.986	-556.77
-332.447	-621.481
-334.594	-689.032
-336.417	-756.04
-338.083	-821.545
-339.594	-883.96
-340.791	-940.029
-341.82	-989.21
-342.614	-1035
-343.33	-1071
-343.811	-1097
-344.046	-1113
-344.202	-1119
-344.124	-1115
-343.968	-1101
-343.655	-1077
-343.174	-1045
-342.536	-1006
-341.741	-962.95
-340.947	-918.612
-339.841	-864.087
-338.721	-810.564
-337.289	-752.992
-335.87	-695.67
-334.191	-637.806
-332.368	-581.987
-330.468	-529.758
-328.32	-477.53
-325.937	-429.1
-323.386	-384.762
-320.613	-343.264
-317.671	-306.816
-314.494	-276.506
-311.149	-250.496
-307.582	-227.284
-303.846	-207.411
-299.953	-189.333
-295.813	-173.01
-291.608	-158.522
-287.078	-146.29
-282.469	-135.059
-277.627	-126.375
-272.615	-117.733
-267.368	-110.845
-261.966	-104.749
-256.485	-100.407
-250.848	-95.815
-244.886	-91.222
-238.924	-86.379
-232.805	-80.785
-226.452	-75.441
-220.099	-68.052
-213.499	-62.415
-206.743	-57.572
-199.908	-51.727
-192.917	-46.885
-185.848	-42.292
-178.623	-41.29
-171.307	-36.447
-163.834	-34.401
-156.297	-32.356
-148.668	-29.809
-140.883	-28.014
-133.085	-25.217
-125.066	-22.169
-117.034	-19.873
-108.937	-17.076
-100.839	-15.03
-92.573	-12.984
-84.228	-10.688
-75.961	-8.392
-67.539	-0.751

