   -8.857e+004		-3.44e-005
   -8.905e+004		-3.442e-005
   -8.873e+004		-3.441e-005
   -8.761e+004		-3.44e-005
   -8.57e+004		-3.437e-005
   -8.316e+004		-3.432e-005
   -8.005e+004		-3.425e-005
   -7.663e+004		-3.417e-005
   -7.31e+004		-3.409e-005
   -6.876e+004		-3.398e-005
   -6.45e+004		-3.387e-005
   -5.992e+004		-3.373e-005
   -5.536e+004		-3.359e-005
   -5.075e+004		-3.342e-005
   -4.631e+004		-3.324e-005
   -4.216e+004		-3.305e-005
   -3.8e+004		-3.283e-005
   -3.415e+004		-3.259e-005
   -3.062e+004		-3.234e-005
   -2.732e+004		-3.206e-005
   -2.442e+004		-3.177e-005
   -2.2e+004		-3.145e-005
   -1.993e+004		-3.111e-005
   -1.809e+004		-3.076e-005
   -1.651e+004		-3.038e-005
   -1.507e+004 		-3e-005
   -1.377e+004		-2.958e-005
   -1.261e+004		-2.916e-005
   -1.164e+004		-2.871e-005
   -1.075e+004		-2.825e-005
   -1.006e+004		-2.776e-005
   -9369			-2.726e-005
   -8821			-2.674e-005
   -8336			-2.62e-005
   -7990			-2.565e-005
   -7625			-2.508e-005
   -7259			-2.449e-005
   -6874			-2.389e-005
   -6429			-2.328e-005
   -6003			-2.265e-005
   -5415			-2.201e-005
   -4967			-2.135e-005
   -4581			-2.067e-005
   -4116			-1.999e-005
   -3731			-1.929e-005
   -3365			-1.858e-005
   -3286			-1.786e-005
   -2900			-1.713e-005
   -2738			-1.638e-005
   -2575			-1.563e-005
   -2372			-1.487e-005
   -2229			-1.409e-005
   -2007			-1.331e-005
   -1764			-1.251e-005
   -1581			-1.17e-005
   -1359			-1.089e-005
   -1196			-1.008e-005
   -1033			-9.257e-006
  -850.5			-8.423e-006
  -667.8			-7.596e-006
  -59.76			-6.754e-006
